what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1486044138469
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1486044138469
started,bundle,org.eclipse.mylyn.commons.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.commons.ui",1486044138469
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1486044138469
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1486044138469
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1486044138469
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1486044138499
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1486044138509
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1486044138509
os,sysinfo,,,"win32",1486044138529
arch,sysinfo,,,"x86",1486044138529
ws,sysinfo,,,"win32",1486044138529
locale,sysinfo,,,"pl_PL",1486044138529
processors,sysinfo,,,"1",1486044138529
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1486044138529
java.runtime.version,sysinfo,,,"1.6.0_35-b10",1486044138529
java.specification.name,sysinfo,,,"Java Platform API Specification",1486044138529
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1486044138529
java.specification.version,sysinfo,,,"1.6",1486044138529
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1486044138529
java.version,sysinfo,,,"1.6.0_35",1486044138529
java.vm.info,sysinfo,,,"mixed mode, sharing",1486044138529
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1486044138529
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1486044138529
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1486044138529
